parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
14000000	7000	2000	14	1	1	comm:histo_extra	1.34	0.68	225.05	2000.0	2.68
14000000	7000	2000	14	1	1	comm:recv_task	3.56	0.3	2686.5	12004.0	7.01
14000000	7000	2000	14	1	1	comm:scatter	3.98	3976.4	0.0	1.0	7.64
14000000	7000	2000	14	1	1	comp:drift	7.36	3.68	3.42	2000.0	14.6
14000000	7000	2000	14	1	1	comp:histo	9.68	4.84	5.24	2000.0	19.2
14000000	7000	2000	14	1	1	comp:kick	23.92	11.96	7.54	2000.0	47.46
14000000	7000	2000	14	1	1	Other	0.23	228.12	0.0	1.0	0.45
14000000	7000	2000	14	1	1	total_time	50.56	50559.09	0.0	1.0	100.0
15000000	7500	2000	15	1	1	comm:bcast	0.39	0.06	25.06	6001.0	0.8
15000000	7500	2000	15	1	1	comm:gather	0.18	178.22	0.0	1.0	0.37
15000000	7500	2000	15	1	1	comm:histo_extra	1.2	0.6	193.2	2000.0	2.46
15000000	7500	2000	15	1	1	comm:recv_task	3.04	0.25	2577.38	12004.0	6.2
15000000	7500	2000	15	1	1	comm:scatter	2.43	2435.48	0.0	1.0	4.82
15000000	7500	2000	15	1	1	comp:drift	7.48	3.74	2.93	2000.0	15.38
15000000	7500	2000	15	1	1	comp:histo	9.74	4.86	2.97	2000.0	19.98
15000000	7500	2000	15	1	1	comp:kick	24.1	12.04	8.06	2000.0	49.48
15000000	7500	2000	15	1	1	Other	0.24	240.14	0.0	1.0	0.49
15000000	7500	2000	15	1	1	total_time	48.82	48814.29	0.0	1.0	100.0
16000000	8000	2000	16	1	1	comm:bcast	0.33	0.06	22.86	6001.0	0.69
16000000	8000	2000	16	1	1	comm:gather	0.2	190.13	0.0	1.0	0.4
16000000	8000	2000	16	1	1	comm:histo_extra	1.2	0.6	225.86	2000.0	2.5
16000000	8000	2000	16	1	1	comm:recv_task	2.91	0.24	3337.68	12004.0	5.99
16000000	8000	2000	16	1	1	comm:scatter	0.64	638.06	0.0	1.0	1.32
16000000	8000	2000	16	1	1	comp:drift	7.77	3.88	3.28	2000.0	16.28
16000000	8000	2000	16	1	1	comp:histo	9.89	4.94	3.57	2000.0	20.71
16000000	8000	2000	16	1	1	comp:kick	24.65	12.32	8.1	2000.0	51.63
16000000	8000	2000	16	1	1	Other	0.23	230.74	0.0	1.0	0.48
16000000	8000	2000	16	1	1	total_time	47.8	47797.52	0.0	1.0	100.0
17000000	8500	2000	17	1	1	comm:bcast	0.32	0.05	20.71	6001.0	0.67
17000000	8500	2000	17	1	1	comm:gather	0.21	210.81	0.0	1.0	0.44
17000000	8500	2000	17	1	1	comm:histo_extra	0.88	0.44	193.6	2000.0	1.82
17000000	8500	2000	17	1	1	comm:recv_task	2.12	0.18	3525.9	12004.0	4.28
17000000	8500	2000	17	1	1	comm:scatter	1.41	1410.84	0.0	1.0	2.84
17000000	8500	2000	17	1	1	comp:drift	8.18	4.09	2.94	2000.0	16.92
17000000	8500	2000	17	1	1	comp:histo	9.98	4.99	3.02	2000.0	20.64
