parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
27000000	13500	2000	27	1	2	Other	0.23	231.44	0.0	1.0	0.48
27000000	13500	2000	27	1	2	total_time	48.64	48639.19	0.0	1.0	100.0
29000000	14500	2000	29	1	2	comm:bcast	0.34	0.06	22.64	6001.0	0.68
29000000	14500	2000	29	1	2	comm:gather	0.3	295.03	0.0	1.0	0.6
29000000	14500	2000	29	1	2	comm:histo_extra	2.59	1.3	109.65	2000.0	5.28
29000000	14500	2000	29	1	2	comm:recv_task	3.22	0.27	1905.92	12004.0	6.56
29000000	14500	2000	29	1	2	comm:scatter	0.83	829.74	0.0	1.0	1.69
29000000	14500	2000	29	1	2	comp:drift	7.67	3.83	3.37	2000.0	15.63
29000000	14500	2000	29	1	2	comp:histo	9.8	4.9	2.82	2000.0	19.98
29000000	14500	2000	29	1	2	comp:kick	24.08	12.04	8.75	2000.0	49.08
29000000	14500	2000	29	1	2	Other	0.24	239.99	0.0	1.0	0.49
29000000	14500	2000	29	1	2	total_time	49.06	49057.64	0.0	1.0	100.0
31000000	15500	2000	31	1	2	comm:bcast	0.34	0.06	22.2	6001.0	0.69
31000000	15500	2000	31	1	2	comm:gather	0.34	338.22	0.0	1.0	0.69
31000000	15500	2000	31	1	2	comm:histo_extra	2.43	1.21	130.22	2000.0	4.93
31000000	15500	2000	31	1	2	comm:recv_task	2.64	0.22	2064.32	12004.0	5.36
31000000	15500	2000	31	1	2	comm:scatter	0.93	928.64	0.0	1.0	1.89
31000000	15500	2000	31	1	2	comp:drift	7.85	3.92	3.53	2000.0	15.95
31000000	15500	2000	31	1	2	comp:histo	9.94	4.97	3.27	2000.0	20.21
31000000	15500	2000	31	1	2	comp:kick	24.5	12.25	9.03	2000.0	49.8
31000000	15500	2000	31	1	2	Other	0.24	238.8	0.0	1.0	0.49
31000000	15500	2000	31	1	2	total_time	49.2	49201.71	0.0	1.0	100.0
33000000	16500	2000	33	1	2	comm:bcast	0.34	0.06	23.96	6001.0	0.67
