parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
20000000	10000	2000	27	1	2	comp:kick	17.6	8.8	10.49	2000.0	48.72
20000000	10000	2000	27	1	2	Other	0.23	230.27	0.0	1.0	0.64
20000000	10000	2000	27	1	2	total_time	36.12	36122.86	0.0	1.0	100.0
20000000	10000	2000	29	1	2	comm:bcast	0.33	0.06	25.07	6001.0	0.97
20000000	10000	2000	29	1	2	comm:gather	0.21	208.04	0.0	1.0	0.61
20000000	10000	2000	29	1	2	comm:histo_extra	1.76	0.88	140.57	2000.0	5.14
20000000	10000	2000	29	1	2	comm:recv_task	2.43	0.2	1633.5	12004.0	7.12
20000000	10000	2000	29	1	2	comm:scatter	0.54	539.88	0.0	1.0	1.58
20000000	10000	2000	29	1	2	comp:drift	5.42	2.71	3.62	2000.0	15.87
20000000	10000	2000	29	1	2	comp:histo	6.76	3.38	3.64	2000.0	19.78
20000000	10000	2000	29	1	2	comp:kick	16.49	8.24	11.83	2000.0	48.25
20000000	10000	2000	29	1	2	Other	0.23	229.55	0.0	1.0	0.67
20000000	10000	2000	29	1	2	total_time	34.17	34172.41	0.0	1.0	100.0
20000000	10000	2000	31	1	2	comm:bcast	0.32	0.05	23.67	6001.0	1.01
20000000	10000	2000	31	1	2	comm:gather	0.21	206.11	0.0	1.0	0.64
20000000	10000	2000	31	1	2	comm:histo_extra	1.57	0.78	161.6	2000.0	4.88
20000000	10000	2000	31	1	2	comm:recv_task	1.98	0.17	1654.75	12004.0	6.17
20000000	10000	2000	31	1	2	comm:scatter	0.73	725.83	0.0	1.0	2.26
20000000	10000	2000	31	1	2	comp:drift	5.21	2.61	3.4	2000.0	16.2
20000000	10000	2000	31	1	2	comp:histo	6.38	3.19	3.1	2000.0	19.84
20000000	10000	2000	31	1	2	comp:kick	15.54	7.77	14.52	2000.0	48.29
20000000	10000	2000	31	1	2	Other	0.23	230.47	0.0	1.0	0.72
20000000	10000	2000	31	1	2	total_time	32.17	32172.81	0.0	1.0	100.0
20000000	10000	2000	33	1	2	comm:bcast	0.34	0.06	24.65	6001.0	1.1
20000000	10000	2000	33	1	2	comm:gather	0.21	207.45	0.0	1.0	0.67
20000000	10000	2000	33	1	2	comm:histo_extra	1.66	0.83	161.93	2000.0	5.39
20000000	10000	2000	33	1	2	comm:recv_task	1.42	0.12	1702.37	12004.0	4.61
20000000	10000	2000	33	1	2	comm:scatter	0.76	755.6	0.0	1.0	2.45
20000000	10000	2000	33	1	2	comp:drift	5.09	2.55	3.44	2000.0	16.55
20000000	10000	2000	33	1	2	comp:histo	6.1	3.05	3.2	2000.0	19.84
20000000	10000	2000	33	1	2	comp:kick	14.96	7.48	13.53	2000.0	48.63
20000000	10000	2000	33	1	2	Other	0.23	233.69	0.0	1.0	0.76
20000000	10000	2000	33	1	2	total_time	30.77	30772.96	0.0	1.0	100.0
20000000	10000	2000	35	1	2	comm:bcast	0.32	0.05	30.75	6001.0	1.11
20000000	10000	2000	35	1	2	comm:gather	0.22	223.42	0.0	1.0	0.77
20000000	10000	2000	35	1	2	comm:histo_extra	1.56	0.78	124.37	2000.0	5.36
20000000	10000	2000	35	1	2	comm:recv_task	0.99	0.08	2055.6	12004.0	3.4
20000000	10000	2000	35	1	2	comm:scatter	0.75	750.96	0.0	1.0	2.58
20000000	10000	2000	35	1	2	comp:drift	4.99	2.5	3.81	2000.0	17.12
20000000	10000	2000	35	1	2	comp:histo	5.79	2.9	2.61	2000.0	19.88
20000000	10000	2000	35	1	2	comp:kick	14.28	7.14	15.29	2000.0	49.0
20000000	10000	2000	35	1	2	Other	0.23	228.45	0.0	1.0	0.78
20000000	10000	2000	35	1	2	total_time	29.15	29149.27	0.0	1.0	100.0
20000000	10000	2000	37	1	2	comm:bcast	0.33	0.06	24.99	6001.0	1.17
20000000	10000	2000	37	1	2	comm:gather	0.21	207.1	0.0	1.0	0.73
20000000	10000	2000	37	1	2	comm:histo_extra	2.0	1.0	136.77	2000.0	7.05
20000000	10000	2000	37	1	2	comm:recv_task	0.73	0.06	2269.24	12004.0	2.58
20000000	10000	2000	37	1	2	comm:scatter	0.81	811.82	0.0	1.0	2.86
20000000	10000	2000	37	1	2	comp:drift	4.96	2.48	4.17	2000.0	17.46
20000000	10000	2000	37	1	2	comp:histo	5.51	2.76	4.39	2000.0	19.41
20000000	10000	2000	37	1	2	comp:kick	13.62	6.81	17.27	2000.0	47.93
20000000	10000	2000	37	1	2	Other	0.23	228.87	0.0	1.0	0.81
20000000	10000	2000	37	1	2	total_time	28.41	28411.92	0.0	1.0	100.0
20000000	10000	2000	39	1	2	comm:bcast	0.36	0.06	31.94	6001.0	1.04
20000000	10000	2000	39	1	2	comm:gather	0.21	214.95	0.0	1.0	0.62
20000000	10000	2000	39	1	2	comm:histo_extra	8.92	4.46	30.69	2000.0	25.53
20000000	10000	2000	39	1	2	comm:recv_task	1.43	0.12	1426.03	12004.0	4.09
20000000	10000	2000	39	1	2	comm:scatter	0.79	793.96	0.0	1.0	2.27
20000000	10000	2000	39	1	2	comp:drift	4.35	2.17	13.53	2000.0	12.44
20000000	10000	2000	39	1	2	comp:histo	5.53	2.77	12.08	2000.0	15.82
20000000	10000	2000	39	1	2	comp:kick	13.12	6.56	18.2	2000.0	37.52
20000000	10000	2000	39	1	2	Other	0.24	237.63	0.0	1.0	0.68
20000000	10000	2000	39	1	2	total_time	34.96	34961.16	0.0	1.0	100.0
