parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
20000000	10000	2000	73	1	4	comp	11.23	54.5	51.68	76.62	3.8
20000000	10000	2000	73	1	4	other	0.19	0.95	0.82	1.46	0.09
20000000	10000	2000	73	1	4	total	20.67	100.0	100.0	100.0	0.0
20000000	10000	2000	75	1	4	comm	7.21	39.54	22.22	44.51	2.84
20000000	10000	2000	75	1	4	comp	10.82	59.37	54.54	76.19	2.79
20000000	10000	2000	75	1	4	other	0.2	1.09	0.94	1.58	0.08
20000000	10000	2000	75	1	4	total	18.22	100.0	100.0	100.0	0.0
20000000	10000	2000	77	1	4	comm	12.83	54.24	44.27	58.74	2.77
20000000	10000	2000	77	1	4	comp	10.59	44.91	40.5	54.72	2.72
20000000	10000	2000	77	1	4	other	0.2	0.85	0.7	1.02	0.07
20000000	10000	2000	77	1	4	total	23.62	100.0	100.0	100.0	0.0
20000000	10000	2000	79	1	4	comm	12.95	54.65	41.87	58.85	3.79
20000000	10000	2000	79	1	4	comp	10.44	44.49	40.34	57.09	3.73
20000000	10000	2000	79	1	4	other	0.2	0.86	0.75	1.06	0.08
20000000	10000	2000	79	1	4	total	23.59	100.0	100.0	100.0	0.0
